item_id,user_no,sales_type,보증금액,월세금액,전용면적_m2,공급면적_m2,local1,local2,local3,random_location,floor,updated_at,approve_date,residence_type,approve_year,random_lat,random_long,is_underground
37742494,14496807,월세,300,36.0,23.14,23.14,경기도,안산시 단원구,신길동,"37.33270827413902,126.78866349090289",3,2023-09-07 11:26:45,2009.11.16,단독주택,2009,37.33270827413902,126.78866349090289,0
37894792,17884077,월세,300,30.0,16.53,16.53,경기도,안산시 단원구,신길동,"37.331566239598104,126.78739872436648",3,2023-08-29 17:00:09,20091029,단독주택,2009,37.331566239598104,126.78739872436648,0
37886936,15423928,전세,8500,,39.67,39.67,경기도,안산시 단원구,신길동,"37.33289652360101,126.78812103730432",4,2023-09-02 16:35:03, 20110629,단독주택,2011,37.33289652360101,126.78812103730432,0
37978949,14496807,월세,300,36.0,23.14,23.14,경기도,안산시 단원구,신길동,"37.33140991432746,126.78766706906127",4,2023-09-07 11:26:20,2012.02.03,단독주택,2012,37.33140991432746,126.78766706906127,0
37802342,14496807,전세,8500,,36.36,36.36,경기도,안산시 단원구,신길동,"37.3323664562516,126.78874201003863",4,2023-09-07 11:26:45,2011.06.29,단독주택,2011,37.3323664562516,126.78874201003863,0
38011714,780048,월세,500,36.0,18.18,18.18,경기도,안산시 단원구,신길동,"37.33105431503133,126.78770585293985",3,2023-09-08 11:36:50,"2013,8,21",단독주택,2013,37.33105431503133,126.78770585293985,0
37894571,780048,월세,300,32.0,18.18,18.18,경기도,안산시 단원구,신길동,"37.332301627861526,126.78803214040336",2,2023-09-02 12:08:15,"2011,12,08",단독주택,2011,37.332301627861526,126.78803214040336,0
38036414,15423928,월세,400,36.0,23.14,23.14,경기도,안산시 단원구,신길동,"37.33153983001726,126.78708344088099",3,2023-09-11 10:58:44,20130821,단독주택,2013,37.33153983001726,126.78708344088099,0
37893157,16024275,월세,300,32.0,16.53,16.53,경기도,안산시 단원구,신길동,"37.33166023207908,126.7871766541182",3,2023-08-29 15:40:25,2010.8.23,단독주택,2010,37.33166023207908,126.7871766541182,0
37998805,133504,월세,200,38.0,23.14,23.14,경기도,안산시 단원구,원곡동,"37.32963082321247,126.79397922940544",1,2023-09-07 11:40:29,20030521,단독주택,2003,37.32963082321247,126.79397922940544,0
37799447,780048,월세,300,34.0,19.83,19.83,경기도,안산시 단원구,신길동,"37.33272804538354,126.78864499717805",3,2023-09-02 12:08:14,"2009,11,16",단독주택,2009,37.33272804538354,126.78864499717805,0
37930687,17884077,월세,300,40.0,18.18,18.18,경기도,안산시 단원구,신길동,"37.33228693269137,126.78709186796056",2,2023-09-01 13:55:28,201000209,단독주택,2010,37.33228693269137,126.78709186796056,0
37911201,780048,월세,300,36.0,18.18,18.18,경기도,안산시 단원구,신길동,"37.3314426417392,126.78704771713095",2,2023-09-02 12:08:02,"2012,2,3",단독주택,2012,37.3314426417392,126.78704771713095,0
37838005,16024275,월세,300,36.0,20.0,20.0,경기도,안산시 단원구,신길동,"37.3322448722751,126.78866002401719",4,2023-08-24 12:58:53,2009.11.16,단독주택,2009,37.3322448722751,126.78866002401719,0
37880065,16024275,월세,300,39.0,23.14,23.14,경기도,안산시 단원구,신길동,"37.33198768281863,126.78765507175123",4,2023-08-28 15:53:59,2010.7.27,단독주택,2010,37.33198768281863,126.78765507175123,0
37718214,15423928,월세,300,34.0,19.83,19.83,경기도,안산시 단원구,신길동,"37.331682058454916,126.78718041780793",3,2023-08-14 10:48:48,10823,단독주택,2010,37.331682058454916,126.78718041780793,0
38042270,780048,월세,300,32.0,18.18,18.18,경기도,안산시 단원구,신길동,"37.332960386702176,126.78717608231283",2,2023-09-11 14:53:15,"2011,10,19",단독주택,2011,37.332960386702176,126.78717608231283,0
37669646,780048,월세,300,30.0,18.18,18.18,경기도,안산시 단원구,신길동,"37.33155579435569,126.7881457211261",3,2023-09-06 14:58:03,"2010,02,11",단독주택,2010,37.33155579435569,126.7881457211261,0
37985659,16024275,월세,300,39.0,23.14,23.14,경기도,안산시 단원구,신길동,"37.331510240220936,126.78763393270592",3,2023-09-06 11:55:12,2010. 7. 27,단독주택,2010,37.331510240220936,126.78763393270592,0
37894744,17884077,월세,300,42.0,22.88,22.88,경기도,안산시 단원구,신길동,"37.33222891161181,126.78863837950905",2,2023-08-29 16:57:57,20091116,단독주택,2009,37.33222891161181,126.78863837950905,0
37903122,780048,전세,5000,,18.18,18.18,경기도,안산시 단원구,신길동,"37.33244483358589,126.78679702773803",2,2023-08-30 13:57:01,"2011,07,12",단독주택,2011,37.33244483358589,126.78679702773803,0
37890275,15423928,월세,300,39.0,23.14,23.14,경기도,안산시 단원구,신길동,"37.33149489111872,126.78827249538932",3,2023-08-29 13:14:02,20100821,단독주택,2010,37.33149489111872,126.78827249538932,0
37861593,15423928,월세,300,30.0,16.53,16.53,경기도,안산시 단원구,신길동,"37.33206879077669,126.78813528905904",3,2023-09-08 11:34:57,20100211,단독주택,2010,37.33206879077669,126.78813528905904,0
37890289,15423928,전세,7000,,24.79,24.79,경기도,안산시 단원구,신길동,"37.33265267793464,126.7887459669588",2,2023-08-29 13:15:21,20110211,단독주택,2011,37.33265267793464,126.7887459669588,0
37955066,1033602,월세,500,55.0,39.67,42.98,경기도,안산시 단원구,원곡동,"37.33250984622878,126.79297868587446",1,2023-09-04 10:53:41,1995.5.12,단독주택,1995,37.33250984622878,126.79297868587446,0
38039856,16024275,월세,500,47.0,22.91,46.35,경기도,안산시 단원구,신길동,"37.330497949832335,126.78578223838089",,2023-09-11 12:58:41,2015년 1월 22일,오피스텔,2015,37.330497949832335,126.78578223838089,0
37798585,15423928,월세,500,50.0,25.12,52.0,경기도,안산시 단원구,신길동,"37.33052321388919,126.78575591196392",,2023-08-25 13:32:46,20120629,오피스텔,2012,37.33052321388919,126.78575591196392,0
37979662,780048,월세,500,45.0,23.1405,46.28,경기도,안산시 단원구,신길동,"37.33104935686589,126.78576700841016",,2023-09-05 17:56:26,20120629,오피스텔,2012,37.33104935686589,126.78576700841016,0
38011645,15423928,월세,500,45.0,21.49,42.98,경기도,안산시 단원구,신길동,"37.33021555881489,126.78633263026951",,2023-09-08 11:34:59,20131205,오피스텔,2013,37.33021555881489,126.78633263026951,0
37837887,16024275,월세,500,45.0,25.38,28.94,경기도,안산시 단원구,신길동,"37.33102368349104,126.78637236061482",,2023-08-28 15:58:59,2012년6월29일,오피스텔,2012,37.33102368349104,126.78637236061482,0
37904016,780048,전세,10000,,24.0,56.0,경기도,안산시 단원구,신길동,"37.33026331134569,126.78622280033485",,2023-08-30 14:41:15,20180518,오피스텔,2018,37.33026331134569,126.78622280033485,0
37999205,16024275,월세,500,41.0,22.91,46.35,경기도,안산시 단원구,신길동,"37.33049441823826,126.78641364919734",,2023-09-07 11:59:21,2015년 1월 22일,오피스텔,2015,37.33049441823826,126.78641364919734,0
37802318,14496807,전세,11000,,28.1,56.2,경기도,안산시 단원구,신길동,"37.329979643541286,126.786412797804",,2023-08-21 15:09:34,20150122,오피스텔,2015,37.329979643541286,126.786412797804,0
37989526,780048,월세,500,55.0,23.1405,52.89,경기도,안산시 단원구,신길동,"37.331346685553505,126.78589309327542",,2023-09-06 14:58:08,20170712,오피스텔,2017,37.331346685553505,126.78589309327542,0
38026003,14496807,월세,500,55.0,26.45,52.89,경기도,안산시 단원구,신길동,"37.330837538010734,126.78588668997845",,2023-09-11 10:45:01,2017.07.12,오피스텔,2017,37.330837538010734,126.78588668997845,0
38042127,780048,월세,65,65.0,23.1405,46.281,경기도,안산시 단원구,신길동,"37.330758990567084,126.78623001721934",,2023-09-11 14:46:21,"2018,5,18",오피스텔,2018,37.330758990567084,126.78623001721934,0
38018973,3075337,월세,2000,85.0,36.69,40.36,경기도,안산시 단원구,원곡동,"37.329355420958706,126.794391014575",2,2023-09-08 18:02:24,2023.10,단독주택,1920,37.329355420958706,126.794391014575,0
37941827,780048,전세,15000,,49.59,99.17,경기도,안산시 단원구,신길동,"37.33073962401753,126.78680985129054",,2023-09-02 12:07:50,2018년05월18일,오피스텔,2018,37.33073962401753,126.78680985129054,0
37961547,15423928,월세,1000,75.0,58.92,120.72,경기도,안산시 단원구,신길동,"37.33018090475131,126.78637383483216",,2023-09-04 14:52:26,20131205,오피스텔,2013,37.33018090475131,126.78637383483216,0
38018817,3075337,월세,2000,85.0,36.69,40.36,경기도,안산시 단원구,원곡동,"37.32890057116492,126.79378843047863",2,2023-09-08 18:01:54,2023.10,단독주택,1920,37.32890057116492,126.79378843047863,0
37772383,14496807,전세,12000,,26.45,49.59,경기도,안산시 단원구,신길동,"37.33085840713547,126.78586561175294",,2023-09-07 11:33:28,2017.07.12,오피스텔,2017,37.33085840713547,126.78586561175294,0
37942918,16024275,월세,500,48.0,25.38,28.94,경기도,안산시 단원구,신길동,"37.33104508349628,126.78575358721925",,2023-09-02 13:57:35,2012.6.29,오피스텔,2012,37.33104508349628,126.78575358721925,0
37998591,14496807,월세,500,47.0,21.49,39.67,경기도,안산시 단원구,신길동,"37.33047679788464,126.78640882596957",,2023-09-07 11:33:28,2015.01.22,오피스텔,2015,37.33047679788464,126.78640882596957,0
37668361,442100,월세,300,33.0,29.75,29.75,경기도,시흥시,정왕동,"37.352836971771694,126.74666596798303",1,2023-08-29 15:43:45,2005.12.22,단독주택,2005,37.352836971771694,126.74666596798303,0
37898586,442100,월세,2000,15.0,26.45,26.45,경기도,시흥시,정왕동,"37.354217856720965,126.74671095505624",3,2023-08-30 10:17:49,2014.09.02,단독주택,2014,37.354217856720965,126.74671095505624,0
38017770,303647,월세,200,24.0,26.45,26.45,경기도,시흥시,정왕동,"37.345559559849455,126.74218246425016",1,2023-09-08 16:38:43,20000127,단독주택,2000,37.345559559849455,126.74218246425016,0
38026884,303647,월세,200,22.0,29.75,29.75,경기도,시흥시,정왕동,"37.34489216112459,126.74232333250572",2,2023-09-09 14:25:27,20010331,단독주택,2001,37.34489216112459,126.74232333250572,0
37746266,194432,월세,200,27.0,26.45,26.45,경기도,시흥시,정왕동,"37.35181717284571,126.74540750019933",3,2023-08-16 15:51:17,2010.06.23,단독주택,2010,37.35181717284571,126.74540750019933,0
37894778,194432,월세,200,30.0,29.75,29.75,경기도,시흥시,정왕동,"37.3531213788768,126.74067470398774",2,2023-08-31 14:50:28,20050802,단독주택,2005,37.3531213788768,126.74067470398774,0
38017887,457146,월세,600,30.0,29.75,29.75,경기도,시흥시,정왕동,"37.352415227758854,126.74636272487511",3,2023-09-11 16:55:55,20071206,단독주택,2007,37.352415227758854,126.74636272487511,0
38003802,457146,월세,200,28.0,23.14,23.14,경기도,시흥시,정왕동,"37.351797531106996,126.74478863146436",3,2023-09-07 17:52:39,20100623,단독주택,2010,37.351797531106996,126.74478863146436,0
38036644,2864681,월세,300,30.0,26.45,26.45,경기도,시흥시,정왕동,"37.35336499489873,126.74638385628324",3,2023-09-11 13:18:04,2004.12.28,단독주택,2004,37.35336499489873,126.74638385628324,0
38047524,1548118,월세,200,29.0,28.1,28.1,경기도,시흥시,정왕동,"37.34596606048778,126.7419016429636",3,2023-09-11 18:53:51,2001-12-19,단독주택,2001,37.34596606048778,126.7419016429636,0
38044038,457146,월세,300,30.0,29.75,29.75,경기도,시흥시,정왕동,"37.35304552872291,126.74353231636266",3,2023-09-11 16:07:48,20120409,단독주택,2012,37.35304552872291,126.74353231636266,0
38022106,449268,월세,80,30.0,26.45,26.45,경기도,시흥시,정왕동,"37.3488039799454,126.74399919725985",1,2023-09-09 09:26:38,2002.10.16,다가구주택,2002,37.3488039799454,126.74399919725985,0
37943872,5980986,월세,300,30.0,26.8,26.8,경기도,시흥시,정왕동,"37.354212281710915,126.747219444448",4,2023-09-02 14:04:51,2014.07.28,단독주택,2014,37.354212281710915,126.747219444448,0
37981186,3865796,월세,300,38.0,33.06,33.06,경기도,시흥시,정왕동,"37.35246294706562,126.74280630355906",3,2023-09-05 20:09:22,20110413,단독주택,2011,37.35246294706562,126.74280630355906,0
38041579,2676506,월세,100,30.0,26.45,26.45,경기도,시흥시,정왕동,"37.34513322733784,126.7409016945509",1,2023-09-11 14:23:24,2001.4.24,단독주택,2001,37.34513322733784,126.7409016945509,0
38047107,3865796,월세,200,27.0,26.45,26.45,경기도,시흥시,정왕동,"37.35267008582338,126.73810464710309",5,2023-09-11 18:25:26,20090204,단독주택,2009,37.35267008582338,126.73810464710309,0
37803633,14240450,월세,200,24.0,29.75,29.75,경기도,시흥시,정왕동,"37.3445838944398,126.74414807956282",1,2023-08-21 16:02:29,20010912,단독주택,2001,37.3445838944398,126.74414807956282,0
38019370,133504,월세,300,38.0,26.45,26.45,경기도,시흥시,정왕동,"37.348778043455226,126.74480433721419",1,2023-09-08 18:00:00,20010628,단독주택,2001,37.348778043455226,126.74480433721419,0
37915581,1328580,월세,200,27.0,26.45,26.45,경기도,시흥시,정왕동,"37.345299850971614,126.74302705715034",2,2023-08-31 14:22:41,2000.12.20,단독주택,2000,37.345299850971614,126.74302705715034,0
38017053,19186853,월세,200,24.0,23.14,23.14,경기도,시흥시,정왕동,"37.3445802111426,126.74417847714597",1,2023-09-08 16:04:37,2000.11.30,단독주택,2000,37.3445802111426,126.74417847714597,0
38029369,1548118,월세,200,23.0,23.14,23.14,경기도,시흥시,정왕동,"37.34989741735866,126.74400429468508",3,2023-09-09 17:19:44,19990112,단독주택,1999,37.34989741735866,126.74400429468508,0
38005683,5980986,월세,300,30.0,27.5,27.5,경기도,시흥시,정왕동,"37.3537765118968,126.74056396201863",3,2023-09-07 17:10:07,2007.07.04,단독주택,2007,37.3537765118968,126.74056396201863,0
38047574,3865796,월세,1000,20.0,28.1,28.1,경기도,시흥시,정왕동,"37.353595819242514,126.74760504794398",4,2023-09-11 18:57:48,20050603,단독주택,2005,37.353595819242514,126.74760504794398,0
37976758,1328580,월세,100,40.0,33.06,33.06,경기도,시흥시,정왕동,"37.351770337653825,126.73766125017615",5,2023-09-05 15:39:15,20071106,단독주택,2007,37.351770337653825,126.73766125017615,0
38030188,2676506,월세,200,22.0,26.4463,26.4463,경기도,시흥시,정왕동,"37.345386793651905,126.74171755581061",2,2023-09-09 18:42:05,2001.8.31,단독주택,2001,37.345386793651905,126.74171755581061,0
38003693,10884184,월세,300,30.0,26.45,26.45,경기도,시흥시,정왕동,"37.34990243247019,126.7448732045892",2,2023-09-09 09:24:09,2003. 12. 09,다가구주택,2003,37.34990243247019,126.7448732045892,0
38020336,2644235,월세,300,30.0,29.75,29.75,경기도,시흥시,정왕동,"37.350164881132436,126.7435388623701",1,2023-09-08 18:51:33,2002   ,단독주택,2002,37.350164881132436,126.7435388623701,0
37975555,16880728,월세,300,38.0,33.06,33.06,경기도,시흥시,정왕동,"37.35292733105636,126.74280932222258",3,2023-09-05 14:46:14,20110413,단독주택,2011,37.35292733105636,126.74280932222258,0
37990965,16880728,월세,300,30.0,33.0,33.0,경기도,시흥시,정왕동,"37.35280042405636,126.74529162339819",5,2023-09-06 16:02:18,20040923,단독주택,2004,37.35280042405636,126.74529162339819,0
37994206,14558955,월세,300,30.0,29.75,29.75,경기도,시흥시,정왕동,"37.348777065151324,126.74397554535538",1,2023-09-06 18:45:42,20021016,단독주택,2002,37.348777065151324,126.74397554535538,0
38044405,457146,월세,200,29.0,26.45,26.45,경기도,시흥시,정왕동,"37.34593809753042,126.74193630661937",3,2023-09-11 16:51:20,2001.12.19,단독주택,2001,37.34593809753042,126.74193630661937,0
38009133,2644235,전세,4500,,33.06,33.06,경기도,시흥시,정왕동,"37.3472619734225,126.74612479881213",1,2023-09-08 09:51:54,2000  11  02,단독주택,2000,37.3472619734225,126.74612479881213,0
38019099,2644235,월세,100,38.0,29.75,29.75,경기도,시흥시,정왕동,"37.34988312555569,126.74161897989954",3,2023-09-08 17:46:03,2003.02.05,단독주택,2003,37.34988312555569,126.74161897989954,0
37932624,404378,월세,1000,38.0,33.06,33.06,경기도,시흥시,정왕동,"37.353067261363485,126.73928314503026",4,2023-09-01 15:18:53,2008.04.30,단독주택,2008,37.353067261363485,126.73928314503026,0
38031217,404378,월세,600,30.0,29.75,29.75,경기도,시흥시,정왕동,"37.351891168326084,126.74572393078128",3,2023-09-10 10:07:06,2007.12.06,단독주택,2007,37.351891168326084,126.74572393078128,0
38020164,5980986,월세,300,40.0,27.5,27.5,경기도,시흥시,정왕동,"37.35283281121473,126.7437485940569",4,2023-09-08 18:40:05,2016.06.14,도시형생활주택,2016,37.35283281121473,126.7437485940569,0
38018303,19186853,월세,300,30.0,96.2,96.2,경기도,시흥시,정왕동,"37.35281762466458,126.74663856173296",1,2023-09-08 17:03:03,20051222,단독주택,2005,37.35281762466458,126.74663856173296,0
37954502,442100,월세,300,30.0,26.45,26.45,경기도,시흥시,정왕동,"37.352348969211484,126.74593705903362",4,2023-09-04 10:35:58,2012.09.11,단독주택,2012,37.352348969211484,126.74593705903362,0
37868172,1548118,월세,300,28.0,26.45,26.45,경기도,시흥시,정왕동,"37.34833616050881,126.74360837701805",1,2023-08-27 13:46:34,2001-12-11,단독주택,2001,37.34833616050881,126.74360837701805,0
37842073,194432,월세,200,30.0,26.45,26.45,경기도,시흥시,정왕동,"37.35370849484248,126.74030075807892",2,2023-08-24 16:26:09,20050722,단독주택,2005,37.35370849484248,126.74030075807892,0
37975718,1328580,월세,200,35.0,29.75,29.75,경기도,시흥시,정왕동,"37.34526794956498,126.74220271331029",2,2023-09-05 14:53:11,2000-12-18,단독주택,2000,37.34526794956498,126.74220271331029,0
38007297,5980986,월세,100,43.0,27.17,27.17,경기도,시흥시,정왕동,"37.349786590233926,126.74221743691871",2,2023-09-07 18:49:17,2002.09.13,단독주택,2002,37.349786590233926,126.74221743691871,0
38035347,2864681,월세,300,30.0,26.45,26.45,경기도,시흥시,정왕동,"37.35357105097944,126.74353030110358",3,2023-09-11 10:23:57,2012.04.09,단독주택,2012,37.35357105097944,126.74353030110358,0
37804358,5235991,월세,300,41.0,29.75,29.75,경기도,시흥시,정왕동,"37.35310437479,126.73878109719374",3,2023-08-21 16:32:41,2013/9/13,공동주택,2013,37.35310437479,126.73878109719374,0
37840937,442100,전세,4500,,26.45,26.45,경기도,시흥시,정왕동,"37.35267471200339,126.74492107387198",2,2023-08-29 15:40:28,2012.11.30,단독주택,2012,37.35267471200339,126.74492107387198,0
38017707,19186853,월세,300,30.0,26.45,26.45,경기도,시흥시,정왕동,"37.34870603755152,126.74557719914937",1,2023-09-08 16:35:55,20040615,단독주택,2004,37.34870603755152,126.74557719914937,0
38016527,14558955,월세,200,27.0,26.45,26.45,경기도,시흥시,정왕동,"37.35294408363907,126.73775974842287",2,2023-09-08 15:41:10,20030804,단독주택,2003,37.35294408363907,126.73775974842287,0
38013571,16880728,월세,300,30.0,27.0,27.0,경기도,시흥시,정왕동,"37.3498991696524,126.74427406389788",2,2023-09-08 13:07:33,20031209,단독주택,2003,37.3498991696524,126.74427406389788,0
38009232,17862973,월세,300,30.0,23.14,23.14,경기도,시흥시,정왕동,"37.35311011376912,126.7464345978438",2,2023-09-11 09:08:36,20190910,단독주택,2019,37.35311011376912,126.7464345978438,0
37966099,442100,월세,100,37.0,33.06,33.06,경기도,시흥시,정왕동,"37.35396274090577,126.74703642841747",3,2023-09-08 17:22:52,2013.05.21,단독주택,2013,37.35396274090577,126.74703642841747,0
37999405,5208753,월세,2500,10.0,26.45,26.45,경기도,시흥시,정왕동,"37.353728245132594,126.74736791031185",3,2023-09-07 12:07:14,2014-9-2,단독주택,2014,37.353728245132594,126.74736791031185,0
37944752,10884184,월세,300,30.0,26.45,26.45,경기도,시흥시,정왕동,"37.34665323863864,126.74451481304024",1,2023-09-09 09:24:13,2016. 11. 30,다가구주택,2016,37.34665323863864,126.74451481304024,0
38017542,19186853,월세,300,30.0,26.45,26.45,경기도,시흥시,정왕동,"37.3542806781773,126.74746538221999",4,2023-09-08 16:30:03,20140804,단독주택,2014,37.3542806781773,126.74746538221999,0
